Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
84,169,26-05-2023,8,188.56
137,301,23-01-2023,10,216.6
216,261,27-05-2024,6,85.5
433,343,25-11-2023,7,301.21
14,431,26-07-2023,7,136.36
439,119,11-10-2024,5,249.4
195,467,23-10-2023,6,82.92
32,159,07-05-2024,4,144.84
109,407,04-01-2024,9,379.71
94,122,09-07-2024,4,123
131,206,16-10-2023,1,38.01
454,3,17-06-2024,2,31.5
420,180,08-06-2023,5,125.45
454,319,24-08-2023,2,85.22
127,479,10-01-2023,6,229.62
412,196,06-10-2023,8,53.52
462,481,20-03-2023,5,52.75
377,101,07-08-2024,4,193.96
496,60,17-11-2023,9,316.26
195,67,14-07-2023,1,10.23
356,287,05-12-2024,3,120.57
177,427,10-06-2024,3,54
119,301,04-08-2023,3,64.98
266,192,10-07-2023,3,145.11
265,250,25-05-2023,10,126.5
294,407,11-06-2023,1,42.19
310,156,03-12-2024,1,31.68
151,423,27-11-2024,8,205.04
305,446,05-10-2023,8,275.92
438,248,23-09-2023,6,281.94
386,279,12-03-2024,8,244
292,313,06-12-2024,4,188.64
478,253,15-04-2024,5,58.3
463,146,27-06-2024,3,43.5
303,172,08-07-2023,5,184.1
417,260,21-01-2024,9,446.31
110,411,27-12-2023,4,60.12
15,466,26-06-2023,4,148.68
488,422,03-08-2024,8,367.28
120,450,03-07-2024,2,91.5
418,147,05-05-2024,8,361.6
415,70,19-09-2023,3,70.35
199,305,25-03-2024,7,221.62
234,460,24-07-2024,5,179.4
470,67,16-11-2024,4,40.92
319,442,08-12-2023,1,48.48
6,360,23-07-2024,3,148.02
458,477,25-02-2024,5,138.55
322,336,14-08-2024,7,168.56
474,88,06-04-2024,1,40.22
155,491,01-09-2024,5,74.35
173,161,20-05-2024,7,151.2
160,242,02-01-2024,3,101.37
446,393,01-09-2024,3,132
18,281,11-01-2024,7,114.38
76,333,06-11-2024,5,138.8
24,34,02-12-2024,2,32.98
329,369,02-12-2024,7,158.55
225,188,11-02-2023,7,140.98
404,49,26-04-2023,9,445.5
405,361,02-07-2024,5,198.75
364,324,06-04-2024,5,230.4
16,469,13-04-2024,9,209.25
348,160,19-07-2024,10,344.8
54,198,06-05-2023,9,201.42
180,323,08-09-2023,8,286.64
260,129,20-04-2023,9,366.66
246,319,21-03-2023,10,426.1
261,109,23-03-2024,4,34.16
49,447,29-05-2023,6,217.5
500,438,11-06-2024,8,267.12
290,5,19-10-2024,1,10.95
411,81,07-10-2023,1,44.19
461,132,08-04-2023,10,204.6
291,375,30-11-2023,5,170.75
470,466,02-09-2024,10,371.7
497,242,20-03-2024,7,236.53
44,196,23-07-2024,5,33.45
134,28,06-10-2023,2,75.02
265,17,04-06-2023,8,42.96
383,325,13-02-2024,5,202
413,387,08-03-2023,5,237.1
457,335,16-01-2024,8,378.32
280,49,05-07-2024,6,297
75,31,14-03-2023,9,191.07
361,441,28-04-2024,3,122.16
167,435,11-07-2024,2,55.52
126,262,16-04-2023,5,105.1
305,113,06-08-2024,2,12.76
457,137,23-12-2023,6,157.98
226,142,13-10-2024,10,489.6
329,325,24-02-2023,5,202
366,427,23-10-2024,3,54
136,88,06-07-2024,6,241.32
447,426,26-10-2023,1,32.82
456,336,09-08-2023,8,192.64
408,221,15-07-2023,10,248.1
429,352,15-12-2023,1,6.01
166,250,20-04-2023,3,37.95
207,63,14-07-2023,1,22.38
154,344,09-01-2023,1,39.63
295,300,10-05-2023,9,241.83
103,21,07-02-2024,3,141.39
182,316,18-01-2024,9,79.29
125,306,20-12-2022,2,87.84
334,449,07-10-2023,3,120.51
10,330,20-10-2024,6,192.12
281,430,25-05-2024,6,71.4
486,368,19-11-2024,2,89.2
7,16,30-04-2023,1,10.07
174,450,25-08-2024,7,320.25
309,403,28-12-2022,2,30.02
80,255,18-02-2024,3,73.53
362,210,24-02-2024,3,122.79
321,136,23-09-2024,8,79.12
280,447,27-02-2024,5,181.25
385,52,24-01-2023,7,115.71
37,189,14-01-2023,3,40.95
328,148,24-09-2023,3,36.75
101,338,14-01-2023,1,10.17
27,63,28-03-2024,6,134.28
136,56,19-02-2023,6,47.22
495,437,10-03-2024,5,221.45
272,122,17-05-2024,10,307.5
196,43,05-06-2024,4,189.56
88,492,08-12-2023,2,88.14
267,295,24-08-2024,7,200.62
197,345,17-09-2024,6,155.34
364,388,02-08-2023,1,26.62
420,17,13-05-2023,1,5.37
16,1,27-05-2024,3,64.02
469,333,22-11-2023,7,194.32
232,458,13-03-2023,4,149.12
94,222,02-04-2023,7,207.13
174,99,24-01-2024,10,469.3
165,70,31-12-2023,4,93.8
474,471,25-11-2023,8,363.04
59,362,02-12-2023,3,88.29
189,26,31-05-2024,9,189.45
295,164,13-12-2022,1,41.83
107,352,05-05-2023,10,60.1
107,434,08-04-2024,2,91.16
443,201,04-10-2023,7,260.75
432,179,10-11-2024,2,96.42
340,477,10-09-2024,8,221.68
394,404,07-04-2024,4,62.6
277,285,08-10-2024,5,138.25
333,429,16-06-2024,1,42.58
39,56,28-11-2024,4,31.48
389,135,01-01-2024,10,151.3
361,288,27-08-2024,7,195.37
377,213,27-10-2023,5,33.95
484,370,19-02-2024,2,87.82
378,391,12-10-2023,5,167.1
191,397,21-01-2024,6,168.9
176,66,27-05-2024,5,141.45
166,245,24-05-2024,10,160.6
183,225,04-07-2023,3,108.12
174,51,11-09-2024,3,138.9
255,85,27-03-2023,3,58.29
227,42,13-01-2024,5,241.75
295,298,21-05-2023,7,326.62
207,384,23-11-2023,3,101.76
